class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
CidrArgument,0,0.0,5,3.0,2.0,0,0,0,Clean,train
SourceGroupArgument,0,0.0,7,5.0,3.0,0,0,0,Clean,train
GroupOwnerArgument,0,0.0,4,2.0,2.0,0,0,0,Clean,train
AWSShellCompleter,0,0.3611111111111111,130,12.625,3.5,0,0,0,Long Method,train
PhoneNumber,0,0.0,32,0.0,0.0,0,0,0,Clean,train
PhoneNumbers,0,0.0,26,22.0,3.0,0,0,0,Clean,train
BottomNavigation,0,0.0,29,5.666666666666667,1.6666666666666667,0,0,0,Clean,test
BottomNavigationiOS,0,0.0,1,0.0,0.0,1,0,0,Clean,train
PostauthFollowPeople,0,0.0,16,5.0,1.0,0,0,0,Clean,train
PostauthFollowPeopleiOS,0,0.0,1,0.0,0.0,1,0,0,Clean,train
TaskSchedulingError,0,0.0,34,4.0,1.0,0,0,0,Clean,train
ExpressRouteCircuitPeeringPaged,0,0.0,12,2.0,1.0,0,0,0,Clean,test
LocalNetworkGatewayPaged,0,0.0,12,2.0,1.0,0,0,0,Clean,train
VirtualNetworkGatewayIPConfiguration,0,0.0,48,8.0,1.0,0,0,0,Data Class,train
RedisResourcePaged,0,0.0,12,2.0,1.0,0,0,0,Clean,test
ResponseContextManager,0,0.0,12,1.0,1.0,0,1,0,Clean,train
B2Http,1,0.5,114,21.75,1.25,0,0,1,Feature Envy,train
AuthException,0,0.0,1,0.0,0.0,0,0,0,Clean,test
Command,0,0.0,8,1.0,1.0,0,0,0,Clean,train
Command,0,0.0,16,4.0,1.0,0,0,0,Clean,test
Gzip,0,0.0,21,19.0,3.0,0,0,0,Feature Envy,train
locked_cached_property,0,0.0,23,6.5,3.0,0,0,0,Clean,train
_PackageBoundObject,0,0.6888888888888889,119,9.5,1.6,0,0,0,Clean,train
PackageCache,0,0.8333333333333334,39,4.25,1.75,0,0,1,Feature Envy,train
Settings,0,0.5,64,12.75,2.75,0,1,0,Clean,test
Connection,0,0.0,20,1.0,1.0,0,0,0,Clean,train
Blast,0,1.0,25,5.0,1.5,0,0,0,Clean,train
RPCQueue,0,0.0,68,9.6,2.8,0,2,5,Clean,train
DualEvent,0,0.0,33,3.6,1.8,0,3,0,Clean,train
ChildCore,0,0.6785714285714286,146,13.875,2.75,0,2,7,Clean,test
MultiprocessingCore,3,0.3111111111111111,199,15.9,2.5,0,2,13,Clean,train
StoreCredentials,0,0.0,10,3.5,1.0,0,0,0,Clean,train
LDObjectContainer,0,0.5,20,1.75,1.25,0,0,2,Clean,train
LDObject,0,0.8952380952380953,189,8.8,2.6666666666666665,0,2,7,God Class,train
BaseArrayOfObjects,0,0.5,21,2.0,1.0,1,1,5,Clean,train
DictObject,0,0.0,6,1.0,1.0,0,1,0,Clean,train
ListObject,0,0.0,5,1.0,1.0,0,2,0,Clean,train
MultiTarget,0,0.6666666666666666,29,8.0,2.3333333333333335,0,0,0,Feature Envy,train
XAccelRedirectResponse,0,0.0,21,19.0,11.0,0,0,0,Clean,train
Command,0,0.0,5,2.0,2.0,0,0,0,Clean,train
MBCSGroupProber,0,0.0,13,12.0,1.0,0,0,0,Clean,train
MailBackend,0,0.6666666666666666,95,11.25,2.25,0,0,0,Clean,train
EmperorSupportFilesError,0,0.0,2,0.0,0.0,0,0,0,Clean,train
EmperorInputFilesError,0,0.0,2,0.0,0.0,0,0,0,Clean,train
EmperorUnsupportedComputation,0,0.0,2,0.0,0.0,0,0,0,Clean,train
Ui_MainWindow,0,0.0,3914,1955.5,1.0,0,0,0,Long Method,test
GeometryField,0,1.0,14,5.5,2.0,0,0,0,Clean,train
log,0,1.0,7,1.5,1.5,0,0,0,Clean,test
Error,0,0.0,1,0.0,0.0,0,1,0,Clean,test
Layout,0,1.0,62,4.5,1.0,0,1,0,Clean,train
Accessor,1,0.5228758169934641,207,9.333333333333334,1.4444444444444444,0,0,4,Clean,train
Binary,0,0.6,63,4.5,2.1666666666666665,0,1,3,Clean,train
UUIDLegacy,0,0.5,58,3.5,1.25,1,1,1,Clean,train
GridFSError,0,0.0,4,0.0,0.0,0,0,0,Clean,train
CorruptGridFile,0,0.0,2,0.0,0.0,1,0,0,Clean,train
NoFile,0,0.0,4,0.0,0.0,1,0,0,Clean,train
FileExists,0,0.0,4,0.0,0.0,1,0,0,Clean,train
UnsupportedAPI,0,0.0,10,0.0,0.0,1,0,0,Clean,train
TimeHelpers,0,1.0,41,2.857142857142857,1.0,0,0,0,Clean,train
IdentifierField,0,0.0,6,3.0,1.0,0,1,2,Clean,train
DeploymentInfo,0,0.0,16,6.0,3.0,0,2,0,Clean,train
DeployedProject,0,0.6947368421052632,347,14.6,2.7,0,1,2,God Class,train
Policy,0,0.0,26,5.5,1.5,0,0,0,Clean,test
PolicyCondition,0,0.0,30,6.0,2.5,0,0,0,Clean,train
_CodeRunner,0,0.5357142857142857,87,8.0,1.375,0,0,0,Data Class,test
XHTMLReader,0,0.7818181818181819,153,11.818181818181818,3.1818181818181817,0,0,0,God Class,train
PostAPI,0,0.0,13,9.0,3.0,0,0,0,Clean,test
Adam,0,0.0,174,53.5,3.5,0,0,0,Long Method,test
InstanceUsageAuditLogController,0,0.8333333333333334,90,20.25,3.0,0,1,0,Feature Envy,train
InstanceUsageAuditLog,1,1.0,12,2.0,1.0,0,0,1,Clean,train
ViewBuilder,0,0.9,81,13.6,2.8,0,1,0,Clean,train
ViewBuilderV21,0,0.0,6,4.0,1.0,1,0,1,Clean,train
ExactRamFilter,0,0.0,19,16.0,2.0,0,0,0,Clean,train
DomainJobInfo,0,1.0,112,31.333333333333332,3.3333333333333335,0,0,0,Clean,test
Host,0,0.9855442176870748,832,14.857142857142858,2.836734693877551,0,0,0,God Class,test
Migration,0,1.0,116,22.0,1.0,0,0,0,Clean,train
CMEModule,0,0.0,49,19.5,3.0,0,0,0,Feature Envy,train
Command,0,0.6666666666666666,170,53.333333333333336,7.666666666666667,0,0,0,Feature Envy,train
Command,0,0.8333333333333334,93,21.0,3.25,0,0,0,Clean,test
